,Date,Media Sources,Negative,Neutral,Positive,Source Account,Tweet Polarity,Tweets Ago
233,Wed Jan 10 22:10:17 +0000 2018,@Shell,0.0,0.744,0.256,lenay,0.784,54
234,Wed Jan 10 22:08:04 +0000 2018,@Shell,0.104,0.896,0.0,C40 Cities,-0.296,55
235,Wed Jan 10 22:07:43 +0000 2018,@Shell,0.104,0.896,0.0,Mark Ruffalo,-0.296,56
236,Wed Jan 10 22:03:54 +0000 2018,@Shell,0.232,0.674,0.094,Richard Brooks,-0.5719,57
237,Wed Jan 10 21:56:34 +0000 2018,@Shell,0.123,0.877,0.0,Richard Brooks,-0.2023,58
238,Wed Jan 10 21:51:28 +0000 2018,@Shell,0.0,1.0,0.0,Ron Capps,0.0,59
239,Wed Jan 10 21:42:56 +0000 2018,@Shell,0.0,1.0,0.0,Physical Review Lett,0.0,60
240,Wed Jan 10 21:28:03 +0000 2018,@Shell,0.0,1.0,0.0,Shell,0.0,61
241,Wed Jan 10 21:14:40 +0000 2018,@Shell,0.166,0.834,0.0,Ike Teuling,-0.636,62
242,Wed Jan 10 21:08:02 +0000 2018,@Shell,0.0,0.723,0.277,Shell,0.3182,63
243,Wed Jan 10 21:04:43 +0000 2018,@Shell,0.0,1.0,0.0,Shell,0.0,64
244,Wed Jan 10 20:56:56 +0000 2018,@Shell,0.0,0.746,0.254,DeltaV,0.7783,65
245,Wed Jan 10 20:53:42 +0000 2018,@Shell,0.175,0.732,0.093,Shell,-0.25,66
